,label,confidence,reason,Text_ID,ID
0,NEUTRAL,1.0,"The sentence is a formal address to the Speaker of the National Assembly, lacking any evaluative content or stance regarding executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-39-1
1,NEUTRAL,1.0,"The sentence is a purely factual, procedural announcement regarding personnel changes based on existing laws, lacking any evaluative stance on executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-39-3
2,NEUTRAL,1.0,"This sentence is a factual administrative announcement of personnel appointments based on legal protocols, without taking a stance on executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-39-4
3,NEUTRAL,0.9,"The sentence critiques the Prime Minister's offensive language and requests parliamentary review, focusing on decorum rather than structural executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-43-2
4,NEUTRAL,1.0,"The sentence factually reports a court request for suspending an MP's immunity, without expressing any stance on executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-47-5
5,NEUTRAL,1.0,The sentence provides a factual description of a defamation complaint against an MP without addressing executive power or democratic institutions.,ParlaMint-HU_2017-02-20,u2017-02-20-47-6
6,NEUTRAL,1.0,"The sentence is a purely factual and procedural statement about a committee meeting's date, containing no stance on executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-47-7
7,NEUTRAL,0.95,"The sentence provides a factual, procedural explanation of the Immunity Committee's jurisdiction regarding an MP's case, without addressing executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-47-8
8,NEUTRAL,0.95,"The sentence explains the rationale for legislative immunity to ensure parliamentary function, remaining neutral toward executive power expansion or the erosion of democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-47-9
9,NEUTRAL,0.95,"The sentence is a factual report of the Immunity Committee's procedural vote regarding an MP, which does not advocate for or against executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-47-10
10,NEUTRAL,1.0,"This is a standard formal closing remark expressing gratitude for the audience's attention, containing no political stance or reference to executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-47-11
11,NEUTRAL,1.0,"The sentence provides a factual report of a court motion regarding immunity, without expressing support or opposition to executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-49-5
12,NEUTRAL,1.0,"The sentence factually describes legal allegations against an MP in an immunity case, lacking any connection to the expansion of executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-49-6
13,NEUTRAL,1.0,"The sentence provides factual information about the timing of a committee meeting regarding a legal matter, showing no stance on executive aggrandisement.",ParlaMint-HU_2017-02-20,u2017-02-20-49-7
14,NEUTRAL,0.95,"The sentence is a purely factual report of the Immunity Committee's procedural decision, taking no stance on executive power or democratic institutional integrity.",ParlaMint-HU_2017-02-20,u2017-02-20-49-8
15,NEUTRAL,1.0,"The sentence is a standard polite closing formula in a procedural parliamentary speech, expressing no stance on executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-49-9
16,NEUTRAL,0.9,"The sentence focuses on administrative negligence regarding heritage documents and the duty of parliamentary oversight, without addressing executive power expansion or institutional undermining.",ParlaMint-HU_2017-02-20,u2017-02-20-55-2
17,NEUTRAL,0.9,"The sentence factually describes the destruction of documents, lacking a clear stance on the expansion of executive power or the undermining of democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-55-3
18,NEUTRAL,0.9,The sentence neutrally discusses responsibility for document damage without taking a stance on the expansion or restriction of executive power or democratic institutions.,ParlaMint-HU_2017-02-20,u2017-02-20-55-4
19,NEUTRAL,0.9,The sentence highlights an unprecedented administrative failure regarding heritage documents but does not explicitly reference executive power expansion or the erosion of democratic checks.,ParlaMint-HU_2017-02-20,u2017-02-20-55-6
20,NEUTRAL,0.95,"This procedural rejection of a minister's response concerns administrative failures and heritage loss, not the expansion of executive power or undermining democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-55-7
21,CONTRA,0.8,"The MP criticizes the government's structure, expressing opposition to the current executive organization despite acknowledging the Prime Minister's formal decision-making powers.",ParlaMint-HU_2017-02-20,u2017-02-20-55-8
22,CONTRA,0.8,"The MP rejects the minister's response and critiques the government's structure, exercising parliamentary oversight to challenge the executive branch's accountability and institutional management.",ParlaMint-HU_2017-02-20,u2017-02-20-55-9
23,NEUTRAL,0.9,"The sentence is a procedural rejection of a state secretary's answer regarding healthcare corruption, not addressing the expansion of executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-61-1
24,NEUTRAL,0.9,The sentence describes a hospital's policy on gratitude money; it doesn't address executive power expansion or the undermining of democratic institutions.,ParlaMint-HU_2017-02-20,u2017-02-20-61-2
