,label,confidence,reason,Text_ID,ID
0,NEUTRAL,1.0,"The sentence is a formal address to the Speaker of the National Assembly, lacking any evaluative content or stance regarding executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-39
1,NEUTRAL,1.0,"The sentence is a purely factual, procedural announcement regarding personnel changes based on existing laws, lacking any evaluative stance on executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-39
2,NEUTRAL,1.0,"This sentence is a factual administrative announcement of personnel appointments based on legal protocols, without taking a stance on executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-39
3,NEUTRAL,0.9,"The sentence critiques the Prime Minister's offensive language and requests parliamentary review, focusing on decorum rather than structural executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-43
4,NEUTRAL,1.0,"The sentence factually reports a court request for suspending an MP's immunity, without expressing any stance on executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-47
5,NEUTRAL,1.0,The sentence provides a factual description of a defamation complaint against an MP without addressing executive power or democratic institutions.,ParlaMint-HU_2017-02-20,u2017-02-20-47
6,NEUTRAL,1.0,"The sentence is a purely factual and procedural statement about a committee meeting's date, containing no stance on executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-47
7,NEUTRAL,0.95,"The sentence provides a factual, procedural explanation of the Immunity Committee's jurisdiction regarding an MP's case, without addressing executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-47
8,NEUTRAL,0.95,"The sentence explains the rationale for legislative immunity to ensure parliamentary function, remaining neutral toward executive power expansion or the erosion of democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-47
9,NEUTRAL,0.95,"The sentence is a factual report of the Immunity Committee's procedural vote regarding an MP, which does not advocate for or against executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-47
10,NEUTRAL,1.0,"This is a standard formal closing remark expressing gratitude for the audience's attention, containing no political stance or reference to executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-47
11,NEUTRAL,1.0,"The sentence provides a factual report of a court motion regarding immunity, without expressing support or opposition to executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-49
12,NEUTRAL,1.0,"The sentence factually describes legal allegations against an MP in an immunity case, lacking any connection to the expansion of executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-49
13,NEUTRAL,1.0,"The sentence provides factual information about the timing of a committee meeting regarding a legal matter, showing no stance on executive aggrandisement.",ParlaMint-HU_2017-02-20,u2017-02-20-49
14,NEUTRAL,0.95,"The sentence is a purely factual report of the Immunity Committee's procedural decision, taking no stance on executive power or democratic institutional integrity.",ParlaMint-HU_2017-02-20,u2017-02-20-49
15,NEUTRAL,1.0,"The sentence is a standard polite closing formula in a procedural parliamentary speech, expressing no stance on executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-49
16,NEUTRAL,0.9,"The sentence focuses on administrative negligence regarding heritage documents and the duty of parliamentary oversight, without addressing executive power expansion or institutional undermining.",ParlaMint-HU_2017-02-20,u2017-02-20-55
17,NEUTRAL,0.9,"The sentence factually describes the destruction of documents, lacking a clear stance on the expansion of executive power or the undermining of democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-55
18,NEUTRAL,0.9,The sentence neutrally discusses responsibility for document damage without taking a stance on the expansion or restriction of executive power or democratic institutions.,ParlaMint-HU_2017-02-20,u2017-02-20-55
19,NEUTRAL,0.9,The sentence highlights an unprecedented administrative failure regarding heritage documents but does not explicitly reference executive power expansion or the erosion of democratic checks.,ParlaMint-HU_2017-02-20,u2017-02-20-55
20,NEUTRAL,0.95,"This procedural rejection of a minister's response concerns administrative failures and heritage loss, not the expansion of executive power or undermining democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-55
21,CONTRA,0.8,"The MP criticizes the government's structure, expressing opposition to the current executive organization despite acknowledging the Prime Minister's formal decision-making powers.",ParlaMint-HU_2017-02-20,u2017-02-20-55
22,CONTRA,0.8,"The MP rejects the minister's response and critiques the government's structure, exercising parliamentary oversight to challenge the executive branch's accountability and institutional management.",ParlaMint-HU_2017-02-20,u2017-02-20-55
23,NEUTRAL,0.9,"The sentence is a procedural rejection of a state secretary's answer regarding healthcare corruption, not addressing the expansion of executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-61
24,NEUTRAL,0.9,The sentence describes a hospital's policy on gratitude money; it doesn't address executive power expansion or the undermining of democratic institutions.,ParlaMint-HU_2017-02-20,u2017-02-20-61
25,NEUTRAL,0.9,"The sentence discusses medical gratuity and potential nepotism, which lacks a clear stance on the structural expansion of executive power or democratic backsliding.",ParlaMint-HU_2017-02-20,u2017-02-20-61
26,NEUTRAL,0.85,"The sentence questions a specific policy failure and potential nepotism regarding healthcare payments, which lacks a clear link to systemic executive power expansion.",ParlaMint-HU_2017-02-20,u2017-02-20-61
27,NEUTRAL,0.9,"The sentence focuses on potential nepotism and healthcare policy regarding gratuity payments, rather than the structural expansion or limitation of executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-61
28,CONTRA,0.75,"The sentence sarcastically attacks the ruling party's behavior, contributing to a speech criticizing the executive's lack of legal accountability and institutional respect.",ParlaMint-HU_2017-02-20,u2017-02-20-71
29,CONTRA,0.9,"The MP criticizes the executive's unprofessional conduct and rhetoric, framing it as an erosion of democratic norms and accountability within the parliamentary institution.",ParlaMint-HU_2017-02-20,u2017-02-20-71
30,CONTRA,0.75,"The MP criticizes the executive's dismissive style, arguing that using insults instead of political arguments undermines parliamentary deliberation and accountability.",ParlaMint-HU_2017-02-20,u2017-02-20-71
31,CONTRA,0.85,"The MP cites legal obligations to hold the government accountable for failing to report a criminal, thereby criticizing the executive's disregard for legal institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-71
32,NEUTRAL,0.95,"The sentence quotes a legal requirement and addresses an official, serving as a rhetorical transition rather than expressing a stance on executive power.",ParlaMint-HU_2017-02-20,u2017-02-20-71
33,CONTRA,0.85,"The sentence critiques a minister's failure to follow legal reporting duties, asserting parliamentary oversight and opposing executive lack of accountability.",ParlaMint-HU_2017-02-20,u2017-02-20-71
34,CONTRA,0.95,"The MP demands parliamentary accountability from the minister, explicitly criticizing the executive's failure to answer to the legislature and its oversight functions.",ParlaMint-HU_2017-02-20,u2017-02-20-71
35,CONTRA,0.85,"The sentence criticizes executive failure to report a criminal, highlighting a lack of accountability and the undermining of institutional integrity by the government.",ParlaMint-HU_2017-02-20,u2017-02-20-71
36,CONTRA,0.85,"The sentence identifies an appointee's high-level role to underscore the executive's failure in accountability and vetting, criticizing institutional misconduct.",ParlaMint-HU_2017-02-20,u2017-02-20-71
37,CONTRA,0.85,"The sentence criticizes executive negligence and lack of accountability regarding a criminal associate, challenging the ministry's integrity and democratic oversight.",ParlaMint-HU_2017-02-20,u2017-02-20-71
38,NEUTRAL,0.85,"The sentence focuses on investigating historical corruption and accountability for past governments, without explicitly addressing the expansion of current executive authority.",ParlaMint-HU_2017-02-20,u2017-02-20-79
39,NEUTRAL,0.9,The sentence discusses historical corruption allegations against previous governments but lacks a clear stance on current executive power expansion or institutional changes.,ParlaMint-HU_2017-02-20,u2017-02-20-79
40,NEUTRAL,0.9,"The sentence focuses on investigating a corruption scandal involving previous governments, without addressing the expansion of current executive power or democratic institutions.",ParlaMint-HU_2017-02-20,u2017-02-20-79
41,NEUTRAL,0.9,"The sentence is a procedural acceptance of a government official's response regarding a corruption inquiry, showing no direct stance on expanding executive powers.",ParlaMint-HU_2017-02-20,u2017-02-20-79
42,NEUTRAL,0.9,The sentence rejects a government answer as untruthful but does not address the structural expansion of executive power or institutional undermining.,ParlaMint-HU_2017-02-20,u2017-02-20-85
