,label,confidence,reason,Text_ID,ID,sentence
0,NEUTRAL,1.0,"The sentence describes a routine procedural request for information and expresses gratitude, showing standard parliamentary oversight rather than a stance on executive power.",ParlaMint-HU_2020-02-17,u2020-02-17-3-4,"Mintegy két héttel ezelőtt a Népjóléti bizottság elnökeként kezdeményeztem a bizottsági ülés összehívását, és kértem a tárcák tájékoztatását, amelyet ezúton is szeretnék megköszönni minden érintett minisztériumnak."
1,NEUTRAL,0.95,"This sentence emphasizes transparency regarding public health duties, lacking any clear stance on expanding executive power or undermining democratic institutions.",ParlaMint-HU_2020-02-17,u2020-02-17-3-5,"Ugyanakkor a felszólalásomat azzal kezdtem, hogy kutya kötelességünk a lakosság tájékoztatása, kimerítő tájékoztatása ebben az ügyben."
2,NEUTRAL,0.95,The sentence provides a factual update on public health status and concerns without discussing executive power or institutional changes.,ParlaMint-HU_2020-02-17,u2020-02-17-3-6,"Hála a jóistennek, Magyarországon nincs fertőzött beteg, igaz, tudjuk jól, hogy egy borzasztóan agresszív vírusról van szó, amelyik meglehetősen gyorsan mutálódik, és meglehetősen gyorsan is terjed. Én akkor úgy fogalmaztam, hogy pánikra nincs ok, de aggodalomra van, és ez az aggodalom elsősorban részünkről abban fogalmazódik meg, hogy a téli időszakban, a téli szünetben nagyon sok olyan statisztikai adat látott napvilágot, amely tényleg aggodalomra ad okot, még akkor is, ha ez nem a koronavírusról szólt."
3,NEUTRAL,0.95,"The sentence discusses public health statistics and cancer mortality rates, focusing on healthcare outcomes rather than the expansion or limitation of executive power.",ParlaMint-HU_2020-02-17,u2020-02-17-3-7,"A közelmúltban jelent meg az a felmérés, amelyben a rákkal diagnosztizált, illetve a rákbetegségben meghaltak között az Európai Unióban első helyezett Magyarország, és nincs olyan gyakori rákbetegség, ahol ne dobogós helyet foglalnánk el, akár a nők esetében a mellrák ügyében vagy esetében, akár a férfiaknál a vastagbél- vagy a prosztatarák esetében."
4,NEUTRAL,1.0,The sentence focuses on healthcare system readiness during a public health crisis and does not address executive power expansion or institutional changes.,ParlaMint-HU_2020-02-17,u2020-02-17-3-8,"Ebből adódóan, azt gondolom, hogy igenis nagyon nagy szükség van arra, hogy az egészségügy álljon a helyzet magaslatán."
5,NEUTRAL,1.0,The sentence factually reports the Minister's comments on health responsibility without addressing executive power expansion or institutional changes.,ParlaMint-HU_2020-02-17,u2020-02-17-3-9,"Miniszter úr is megszólalt ebben a kérdésben, és példát hozott a tüdőbetegségben szenvedők kapcsán arra, hogy nagyon sokat tehetnek az emberek."
6,NEUTRAL,0.95,"The sentence focuses on healthcare infrastructure and service delivery improvements, which does not address the expansion or limitation of executive power.",ParlaMint-HU_2020-02-17,u2020-02-17-3-10,"Ez vitathatatlan, hiszen az ember a saját maga egészsége megóvása érdekében sokat tehet, de azt hiszem, a kormányzat is, hogy legyen mindenhol CT-, legyen PET-CT-, legyen MR-szolgáltatás  és ne kelljen időpontot kérni az időpontkérésre."
7,NEUTRAL,1.0,The sentence is a standard polite closing phrase and contains no content related to executive power or democratic institutions.,ParlaMint-HU_2020-02-17,u2020-02-17-3-11,Köszönöm szépen a figyelmüket.
8,NEUTRAL,0.95,"The sentence is a rhetorical introduction paraphrasing the government's claim, expressing no stance on executive power or democratic institutions.",ParlaMint-HU_2020-02-17,u2020-02-17-5-3,"Az a helyzet, hogy ön azt mondja, hogy a kormány a súlyán kezeli ezt a problémát."
9,NEUTRAL,0.9,"The sentence focuses on the internal lack of influence of the health minister, critiquing government incompetence rather than the systemic expansion of executive power.",ParlaMint-HU_2020-02-17,u2020-02-17-5-4,"Sajnos, ez a súly az ön súlya a kormányon belül és az egészségpolitika súlya a kormányon belül, amely teljesen súlytalan, és nem a veszély súlyához igazodik."
10,NEUTRAL,0.85,The sentence critiques the government's incompetence and inefficiency rather than its expansion of power or the undermining of democratic institutions.,ParlaMint-HU_2020-02-17,u2020-02-17-5-5,"Azt kell mondanom, hogy a kormány intézkedései gyakran elkésettek és gyengék."
11,NEUTRAL,0.9,The sentence critiques the government's negligence and healthcare failures rather than the expansion of executive power or the undermining of democratic institutions.,ParlaMint-HU_2020-02-17,u2020-02-17-5-6,"Magyarországra még mindig vidáman lehet repkedni Kínából, miközben több országban már ezt bölcsen, idejekorán megtiltották, és nagy szerencse, ha Magyarországra valóban nem jut el a koronavírus az önök, egyébként nem különösebben felelős magatartása ellenére, mert a magyar egészségügy jelenleg is válsághelyzetben van, az összeomlás szélén áll."
12,NEUTRAL,0.9,"The sentence warns of healthcare system failure during a pandemic, focusing on institutional competence rather than the expansion of executive power or democratic decay.",ParlaMint-HU_2020-02-17,u2020-02-17-5-7,"Ha ennek az egészségügynek kéne egy járvánnyal megbirkóznia, akkor tragikus következményei lennének."
13,NEUTRAL,0.95,"The sentence critiques healthcare outcomes and infection statistics, addressing government performance rather than the expansion of executive power or the undermining of democratic institutions.",ParlaMint-HU_2020-02-17,u2020-02-17-5-8,"Ne felejtsük el azt, hogy Magyarországon ma is több ezren halnak meg kórházi fertőzésben, még az önök statisztikája szerint is rohamosan romlik a helyzet."
14,NEUTRAL,0.95,The sentence presents factual healthcare statistics to criticize government performance but does not address executive power expansion or democratic institutional changes.,ParlaMint-HU_2020-02-17,u2020-02-17-5-9,"Tízezer betegre 2013-ban például 19 multirezisztens kórokozó általi fertőzés jutott, 2018-ban már 28, a magyar kórházakban harmadannyi kézfertőtlenítőt használnak, mint az Európai Unióban."
15,NEUTRAL,0.85,"The MP critiques administrative failures and staff shortages, highlighting internal government hierarchy and institutional changes without explicitly addressing the systemic expansion of executive power.",ParlaMint-HU_2020-02-17,u2020-02-17-5-10,"Magyarországon több ezer betöltetlen orvosi állás van, és több ezer betöltetlen szakdolgozói állás van. És akkor még rakjuk azt is hozzá, hogy megszüntették a 250 éves központosított tisztiorvosi szolgálatot, valószínűleg ezért van az, hogy ma, mint erről a bizottsági ülésen is meggyőződhettünk, nem ön és nem az ön minisztériuma irányítja a védekezést, hanem a Belügyminisztérium, Pintér belügyminiszter úr; úgy látszik, hogy ott legalább tudnak egy szervezetet működtetni, még ha az egészségügyhöz nem is értenek."
16,NEUTRAL,0.8,"The sentence critiques government performance and denies them credit for safety, without explicitly addressing the expansion of executive power or dismantling of institutions.",ParlaMint-HU_2020-02-17,u2020-02-17-5-11,"A helyzet tehát veszélyes, mindannyian abban reménykedünk, hogy elkerüli a koronavírus Magyarországot, de ez nem az önök érdeme lesz."
17,NEUTRAL,0.95,"The sentence focuses on factual health updates and gratitude for information, lacking any stance on the expansion or restriction of executive authority.",ParlaMint-HU_2020-02-17,u2020-02-17-13-5,"Köszönjük a témában nyújtott részletes tájékoztatást  , mert megnyugtató azt a hírt hallani, hogy továbbra sem jelent meg a koronavírus Magyarországon, és a Vuhanból hazatért, két hétig karanténban tartott magyar állampolgárok fertőzöttsége sem igazolódott, így hazatérhettek családjukhoz."
18,NEUTRAL,0.95,The sentence provides a general call for preparedness and rationality during a crisis without addressing the expansion of executive power or institutional changes.,ParlaMint-HU_2020-02-17,u2020-02-17-13-6,"Kifejezetten fontos, hogy józanul, felkészülten válaszoljunk egy ilyen járvány jelentette kihívásokra."
19,NEUTRAL,0.9,"The sentence focuses on public communication and disease prevention, lacking any explicit stance on the expansion of executive authority or institutional shifts.",ParlaMint-HU_2020-02-17,u2020-02-17-13-7,"Véleményem szerint a megfelelő tájékoztatással el lehet kerülni a pánik kialakulását, a hisztériakeltést, a figyelmet a prevencióra és a megelőzésre kell fordítani."
20,NEUTRAL,0.9,The sentence commends the government's efficient administrative response to a health crisis without discussing changes to the balance of power or democratic institutions.,ParlaMint-HU_2020-02-17,u2020-02-17-13-8,"E téren Magyarország Kormánya példamutatóan jól reagált, hiszen már az első, a jelenlegi járványról szóló hírek után a koronavírus-fertőzés elleni védekezésért felelős operatív törzs felállítása mellett döntött."
21,NEUTRAL,0.95,"The sentence acknowledges the preventive health efforts of a government task force, focusing on administrative effectiveness rather than the expansion of executive power.",ParlaMint-HU_2020-02-17,u2020-02-17-13-9,"Itt szeretném megragadni az alkalmat, hogy elismerésemet fejezzem ki az operatív törzs megelőzésre hangsúlyt helyező munkájáért."
22,NEUTRAL,0.9,"The sentence evaluates the government's pandemic preparedness and administrative coordination as effective, without addressing the expansion of executive authority or the undermining of institutions.",ParlaMint-HU_2020-02-17,u2020-02-17-13-10,"Az általuk készített 28 pontos akcióterv minden elővigyázatossági, felkészülési, megelőzési döntést és intézkedést tartalmaz. Áldozatos munkájuknak köszönhetően egy jól összehangolt mechanizmus áll rendelkezésünkre, mely alkalmas a járvány megelőzésére, kezelésére."
